"   Sample,Sample,    Excel,   Sample, NC,FGC,     CO2, NM,FGM,     CH4, NO,FGO,     CO, N13,FG3,13C-CO2,N18,FG8,18O-CO2,N14,FG4,14C-CO2"
"     Date,  Time,     Date,     Date,"
1965-06-30, 08:00, 23923.33, 1965.494,  2,  4,  355.59,  0,  3,     NaN,  0,  3,     NaN,  0,  9,    NaN,  0,  9,    NaN,  0,  9,    NaN
1965-07-16, 14:45, 23939.61, 1965.539,  2,  0,  319.21,  0,  3,     NaN,  0,  3,     NaN,  0,  9,    NaN,  0,  9,    NaN,  0,  9,    NaN
1965-08-01, 06:05, 23955.25, 1965.582,  2,  4,  320.87,  0,  3,     NaN,  0,  3,     NaN,  0,  9,    NaN,  0,  9,    NaN,  0,  9,    NaN
1965-08-14, 05:20, 23968.22, 1965.617,  2,  4,  318.34,  0,  3,     NaN,  0,  3,     NaN,  0,  9,    NaN,  0,  9,    NaN,  0,  9,    NaN
1965-08-30, 06:08, 23984.26, 1965.661,  2,  2,  324.68,  0,  3,     NaN,  0,  3,     NaN,  0,  9,    NaN,  0,  9,    NaN,  0,  9,    NaN
1965-09-14, 05:55, 23999.25, 1965.702,  2,  2,  318.33,  0,  3,     NaN,  0,  3,     NaN,  0,  9,    NaN,  0,  9,    NaN,  0,  9,    NaN
1965-10-03, 06:10, 24018.26, 1965.754,  2,  4,  321.89,  0,  3,     NaN,  0,  3,     NaN,  0,  9,    NaN,  0,  9,    NaN,  0,  9,    NaN
1965-10-16, 06:00, 24031.25, 1965.790,  2,  4,  318.85,  0,  3,     NaN,  0,  3,     NaN,  0,  9,    NaN,  0,  9,    NaN,  0,  9,    NaN
1965-10-30, 06:10, 24045.26, 1965.828,  2,  4,  316.98,  0,  3,     NaN,  0,  3,     NaN,  0,  9,    NaN,  0,  9,    NaN,  0,  9,    NaN
1965-11-15, 06:43, 24061.28, 1965.872,  2,  4,  323.49,  0,  3,     NaN,  0,  3,     NaN,  0,  9,    NaN,  0,  9,    NaN,  0,  9,    NaN
1965-12-02, 04:20, 24078.18, 1965.918,  2,  4,  319.30,  0,  3,     NaN,  0,  3,     NaN,  0,  9,    NaN,  0,  9,    NaN,  0,  9,    NaN
1965-12-13, 21:30, 24089.90, 1965.950,  2,  4,  321.70,  0,  3,     NaN,  0,  3,     NaN,  0,  9,    NaN,  0,  9,    NaN,  0,  9,    NaN
1965-12-30, 02:45, 24106.11, 1965.995,  2,  2,  320.80,  0,  3,     NaN,  0,  3,     NaN,  0,  9,    NaN,  0,  9,    NaN,  0,  9,    NaN
1966-01-14, 19:45, 24121.82, 1966.038,  2,  0,  320.42,  0,  3,     NaN,  0,  3,     NaN,  0,  9,    NaN,  0,  9,    NaN,  0,  9,    NaN
1966-01-31, 09:57, 24138.41, 1966.083,  2,  0,  320.91,  0,  3,     NaN,  0,  3,     NaN,  0,  9,    NaN,  0,  9,    NaN,  0,  9,    NaN
1966-02-16, 08:55, 24154.37, 1966.127,  2,  4,  321.64,  0,  3,     NaN,  0,  3,     NaN,  0,  9,    NaN,  0,  9,    NaN,  0,  9,    NaN
1966-02-28, 13:53, 24166.58, 1966.160,  2,  0,  322.24,  0,  3,     NaN,  0,  3,     NaN,  0,  9,    NaN,  0,  9,    NaN,  0,  9,    NaN
1966-03-17, 07:40, 24183.32, 1966.206,  2,  2,  322.49,  0,  3,     NaN,  0,  3,     NaN,  0,  9,    NaN,  0,  9,    NaN,  0,  9,    NaN
1966-04-01, 08:35, 24198.36, 1966.248,  2,  0,  323.86,  0,  3,     NaN,  0,  3,     NaN,  0,  9,    NaN,  0,  9,    NaN,  0,  9,    NaN
1966-04-13, 06:50, 24210.28, 1966.280,  2,  2,  323.50,  0,  3,     NaN,  0,  3,     NaN,  0,  9,    NaN,  0,  9,    NaN,  0,  9,    NaN
1966-05-16, 22:15, 24243.93, 1966.372,  2,  2,  324.35,  0,  3,     NaN,  0,  3,     NaN,  0,  9,    NaN,  0,  9,    NaN,  0,  9,    NaN
